ID,Haplogroup,Population
Han_Beijing4720,O2a2b2a1,Han_noNWC
Han_Beijing4672,O2a2b2a1a,Han_noNWC
Han_Beijing4699,O2a2b2a1a,Han_noNWC
Han_Beijing4728,O2a2b2a1b1,Han_noNWC
Han_Beijing4675,O2a2b2a1b2,Han_noNWC
Han_Beijing4768,O2a2b2a1b2,Han_noNWC
Han_Beijing4668,O2a2b2a2a2,Han_noNWC
Han_Beijing4714,O2b,Han_noNWC
Han_Beijing4692,O2b1a1a,Han_noNWC
Han_Beijing4713,Q1a1a,Han_noNWC
Han_Beijing4669,Q1a1a1a,Han_noNWC
Han_Beijing4773,Q1a1a1a,Han_noNWC
Han_Beijing4674,Q1a1a1a1,Han_noNWC
Han_Beijing4673,Q1b1,Han_noNWC
Han_Beijing4667,R1a1a1b2a1,Han_noNWC
Han_Beijing4698,R1a1a1b2a2a1,Han_noNWC
Han_Beijing4742,R1b1,Han_noNWC
Han_Beijing4729,R1b1a1b1b,Han_noNWC
Han_Chongqing33,C1b1a2b,Han_noNWC
Han_Chongqing84,C2b1a1a1a1d,Han_noNWC
Han_Chongqing15,C2b1a2a2,Han_noNWC
Han_Chongqing89,C2b1a2a2b1a,Han_noNWC
Han_Chongqing88,C2b1a2b2,Han_noNWC
Han_Chongqing7,C2b1b1b2,Han_noNWC
Han_Chongqing58,C2b1b1b2,Han_noNWC
Han_Chongqing37,D1a1a1a1,Han_noNWC
Han_Chongqing53,D1a1a1a1,Han_noNWC
Han_Chongqing85,D1a1a1a1a1b2,Han_noNWC
Han_Chongqing67,F,Han_noNWC
Han_Chongqing6,N1b1a1b,Han_noNWC
Han_Chongqing14,N1b1a1b,Han_noNWC
Han_Chongqing36,N1b2,Han_noNWC
Han_Chongqing55,N1b2,Han_noNWC
Han_Chongqing73,N1b2,Han_noNWC
Han_Chongqing49,N1b2a1,Han_noNWC
Han_Chongqing93,N1b2a1,Han_noNWC
Han_Chongqing29,O1a1a1a,Han_noNWC
Han_Chongqing20,O1a1a1a1a,Han_noNWC
Han_Chongqing77,O1a1a1a1a1a1,Han_noNWC
Han_Chongqing74,O1a1a1a1a1a1a1a2,Han_noNWC
Han_Chongqing82,O1a1a1a1a1a1a3,Han_noNWC
Han_Chongqing62,O1a1a1a1a1a1b1,Han_noNWC
Han_Chongqing63,O1a1a1a1a1a1b1,Han_noNWC
Han_Chongqing4,O1a1a1a1a1a1c3,Han_noNWC
Han_Chongqing39,O1a1a1a1a1a1d2,Han_noNWC
Han_Chongqing32,O1a1a1a1a1a1e2,Han_noNWC
Han_Chongqing26,O1a1a1b1b,Han_noNWC
Han_Chongqing80,O1a1a1b1b1a,Han_noNWC
Han_Chongqing21,O1a1a1b1b1b,Han_noNWC
Han_Chongqing18,O1a1a1b1b1b1,Han_noNWC
Han_Chongqing48,O1a1a2a1,Han_noNWC
Han_Chongqing72,O1a1a2a1,Han_noNWC
Han_Chongqing43,O1a1a2a1a1,Han_noNWC
Han_Chongqing52,O1a1a2a1a1,Han_noNWC
