"population","hap","count","freq","class"
"Han_noNWC","O1a3a",14,0.00293193717277487,"Very rare"
"Han_noNWC","O1b",1,0.000209424083769634,"Singleton"
"Han_noNWC","O1b1a",10,0.00209424083769634,"Very rare"
"Han_noNWC","O1b1a1",278,0.0582198952879581,"Common"
"Han_noNWC","O1b1a2",170,0.0356020942408377,"Rare"
"Han_noNWC","O1b2a1",27,0.0056544502617801,"Very rare"
"Han_noNWC","O2",2,0.000418848167539267,"Doubleton"
"Han_noNWC","O2a1a",7,0.00146596858638743,"Very rare"
"Han_noNWC","O2a1a1",115,0.0240837696335079,"Rare"
"Han_noNWC","O2a1b1",668,0.139895287958115,"Common"
"Han_noNWC","O2a1b2",22,0.00460732984293194,"Very rare"
"Han_noNWC","O2a2",17,0.00356020942408377,"Very rare"
"Han_noNWC","O2a2a1",171,0.0358115183246073,"Rare"
"Han_noNWC","O2a2a2",35,0.00732984293193717,"Very rare"
"Han_noNWC","O2a2b1",1362,0.285235602094241,"Common"
"Han_noNWC","O2a2b2",137,0.0286910994764398,"Rare"
"Han_noNWC","O2b",16,0.00335078534031414,"Very rare"
"Han_noNWC","O2b1a1",26,0.00544502617801047,"Very rare"
