ID	QC_Other	QC_Haplogrep	Latitude	Longitude	Population	City	Province	Country	Language	Continent	Sequence_method	Source
YHC06718	YES	0.8236	36.2	113.12	Han	Zhangzhi	Shanxi	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC03899	YES	0.8879	34.36	107.24	Han	Baoji	Shaanxi	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC02454	YES	0.9139	33.07	107.02	Han	Hanzhong	Shaanxi	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC03233	YES	0.9256	33.07	107.02	Han	Hanzhong	Shaanxi	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC05456	YES	0.7743	34.52	109.47	Han	Weinan	Shaanxi	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC06673	YES	0.7928	34.34	108.94	Han	Xian	Shaanxi	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC00170	YES	0.9599	34.34	108.94	Han	Xian	Shaanxi	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC02036	YES	0.7935	34.34	108.94	Han	Xian	Shaanxi	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC05615	YES	0.9244	31.23	121.47	Han	Shanghai	Shanghai	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC01419	YES	0.8308	31.23	121.47	Han	Shanghai	Shanghai	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC00273	YES	0.9143	31.23	121.47	Han	Shanghai	Shanghai	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC02091	YES	0.9206	31.23	121.47	Han	Shanghai	Shanghai	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC01011	YES	0.8859	31.23	121.47	Han	Shanghai	Shanghai	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC07532	YES	0.8975	31.23	121.47	Han	Shanghai	Shanghai	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC01491	YES	0.8916	31.23	121.47	Han	Shanghai	Shanghai	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC06655	YES	0.9021	31.23	121.47	Han	Shanghai	Shanghai	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC07869	YES	0.8821	31.9	102.22	Zang	Aba	Sichuan	China	Tibeto_Burman	East_Asia	WHOLE	LLT_WHALE
YHC05952	YES	0.8435	31.9	102.22	Han	Aba	Sichuan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC01663	YES	0.9033	31.9	102.22	Han	Aba	Sichuan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC07887	YES	0.8973	31.87	106.75	Han	Bazhong	Sichuan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC01813	YES	0.8824	31.87	106.75	Han	Bazhong	Sichuan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC04432	YES	0.8679	31.87	106.75	Han	Bazhong	Sichuan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC05321	YES	0.8664	31.87	106.75	Han	Bazhong	Sichuan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC05057	YES	0.9222	31.87	106.75	Han	Bazhong	Sichuan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC07502	YES	0.8605	31.87	106.75	Han	Bazhong	Sichuan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC03784	YES	0.8956	31.87	106.75	Han	Bazhong	Sichuan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC01467	YES	0.8872	31.87	106.75	Han	Bazhong	Sichuan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC02052	YES	0.8055	31.87	106.75	Han	Bazhong	Sichuan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC02174	YES	0.8106	31.87	106.75	Han	Bazhong	Sichuan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC01368	YES	0.8924	31.87	106.75	Han	Bazhong	Sichuan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC01445	YES	0.8964	31.87	106.75	Han	Bazhong	Sichuan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC05951	YES	0.9054	31.87	106.75	Han	Bazhong	Sichuan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
